SEX_TYPE,merged_symptom,MDCARE_YM,COUNT
2,J00,200401,90912
2,J00,200402,81453
2,J00,200403,120915
2,J00,200404,105844
2,J00,200405,84984
2,J00,200406,66931
2,J00,200407,52421
2,J00,200408,50567
2,J00,200409,83264
2,J00,200410,104808
2,J00,200411,98217
2,J00,200412,105402
2,J00,200501,86265
2,J00,200502,68314
2,J00,200503,98584
2,J00,200504,110730
2,J00,200505,97733
2,J00,200506,64749
2,J00,200507,51432
2,J00,200508,49599
2,J00,200509,75210
2,J00,200510,103793
2,J00,200511,106096
2,J00,200512,142367
2,J00,200601,108974
2,J00,200602,91880
2,J00,200603,110401
2,J00,200604,114733
2,J00,200605,96271
2,J00,200606,70792
2,J00,200607,53724
2,J00,200608,50929
2,J00,200609,92322
2,J00,200610,87654
2,J00,200611,107393
2,J00,200612,114713
2,J00,200701,115007
2,J00,200702,79052
2,J00,200703,90248
2,J00,200704,99894
2,J00,200705,83414
2,J00,200706,76901
2,J00,200707,74540
2,J00,200708,63225
2,J00,200709,111736
2,J00,200710,136213
2,J00,200711,148196
2,J00,200712,160550
2,J00,200801,146497
2,J00,200802,152391
2,J00,200803,145131
2,J00,200804,129000
2,J00,200805,113870
2,J00,200806,91296
2,J00,200807,67952
2,J00,200808,61552
2,J00,200809,92568
2,J00,200810,121820
2,J00,200811,123763
2,J00,200812,170655
2,J00,200901,143861
2,J00,200902,93384
2,J00,200903,121649
2,J00,200904,147301
2,J00,200905,115829
2,J00,200906,89173
2,J00,200907,73104
2,J00,200908,83422
2,J00,200909,146162
2,J00,200910,173662
2,J00,200911,179704
2,J00,200912,154462
2,J00,201001,132209
2,J00,201002,112410
2,J00,201003,141553
2,J00,201004,163661
2,J00,201005,131142
2,J00,201006,100658
2,J00,201007,78188
2,J00,201008,66482
2,J00,201009,117515
2,J00,201010,148310
2,J00,201011,147562
2,J00,201012,168766
2,J00,201101,143148
2,J00,201102,110162
2,J00,201103,150587
2,J00,201104,138842
2,J00,201105,123215
2,J00,201106,96940
2,J00,201107,77590
2,J00,201108,81332
2,J00,201109,125757
2,J00,201110,144141
2,J00,201111,142228
2,J00,201112,171293
2,J00,201201,161523
2,J00,201202,160921
2,J00,201203,171934
2,J00,201204,160330
2,J00,201205,139488
2,J00,201206,103269
2,J00,201207,89299
2,J00,201208,85396
2,J00,201209,141946
2,J00,201210,165132
2,J00,201211,165337
2,J00,201212,151451
2,J00,201301,161428
2,J00,201302,160503
2,J00,201303,178687
2,J00,201304,175658
2,J00,201305,143801
2,J00,201306,107695
2,J00,201307,94824
2,J00,201308,92555
2,J00,201309,139520
2,J00,201310,158753
2,J00,201311,165948
2,J00,201312,154590
